year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
    19000.00000        2.23453        2.52480        0.01824      306.08533       -6.89225      228.66236        8.74035        7.81385       16.55420       14.66559       10.00000       15.38474        5.36966
    19500.00000        2.23615        2.52637        0.01860      306.63324       -6.89225      228.68879        8.74589        7.81880       16.56470       14.67220       10.00000       15.39249        5.37755
    20000.00000        2.23777        2.52795        0.01897      307.17737       -6.89225      228.71732        8.75139        7.82372       16.57511       14.67933       10.00000       15.40017        5.38537
    20500.00000        2.23939        2.52953        0.01933      307.71796       -6.89225      228.74777        8.75685        7.82860       16.58544       14.68694       10.00000       15.40779        5.39312
    21000.00000        2.24101        2.53111        0.01969      308.25522       -6.89225      228.78000        8.76226        7.83344       16.59570       14.69500       10.00000       15.41534        5.40080
    21500.00000        2.24263        2.53270        0.02005      308.78936       -6.89224      228.81386        8.76764        7.83825       16.60589       14.70347       10.00000       15.42284        5.40842
    22000.00000        2.24425        2.53429        0.02040      309.32057       -6.89224      228.84922        8.77298        7.84302       16.61601       14.71230       10.00000       15.43029        5.41598
    22500.00000        2.24587        2.53587        0.02075      309.84900       -6.89224      228.88594        8.77829        7.84777       16.62606       14.72148       10.00000       15.43768        5.42348
    23000.00000        2.24749        2.53746        0.02110      310.37483       -6.89223      228.92391        8.78357        7.85249       16.63605       14.73098       10.00000       15.44502        5.43092
    23500.00000        2.24910        2.53905        0.02145      310.89819       -6.89223      228.96304        8.78881        7.85717       16.64598       14.74076       10.00000       15.45232        5.43832
    24000.00000        2.25072        2.54063        0.02179      311.41923       -6.89223      229.00322        8.79403        7.86184       16.65586       14.75080       10.00000       15.45957        5.44566
    24500.00000        2.25233        2.54222        0.02213      311.93807       -6.89222      229.04436        8.79921        7.86647       16.66569       14.76109       10.00000       15.46678        5.45296
    25000.00000        2.25394        2.54381        0.02247      312.45482       -6.89222      229.08637        8.80437        7.87109       16.67546       14.77159       10.00000       15.47395        5.46021
    30000.00000        2.26991        2.55961        0.02572      317.52796       -6.89217      229.54057        8.85473        7.91610       16.77083       14.88514       10.00000       15.54369        5.53062
    35000.00000        2.28561        2.57520        0.02875      322.47245       -6.89214      230.02649        8.90328        7.95951       16.86279       15.00662       10.00000       15.61059        5.59802
    40000.00000        2.30101        2.59053        0.03158      327.32301       -6.89214      230.52025        8.95042        8.00165       16.95207       15.13006       10.00000       15.67523        5.66307
    45000.00000        2.31611        2.60556        0.03424      332.09563       -6.89218      231.01123        8.99634        8.04271       17.03905       15.25281       10.00000       15.73790        5.72610
    50000.00000        2.33089        2.62030        0.03672      336.79770       -6.89225      231.49484        9.04115        8.08277       17.12392       15.37371       10.00000       15.79877        5.78730
    55000.00000        2.34537        2.63473        0.03905      341.43270       -6.89236      231.96914        9.08491        8.12188       17.20679       15.49228       10.00000       15.85794        5.84679
    60000.00000        2.35955        2.64887        0.04122      346.00237       -6.89251      232.43343        9.12765        8.16010       17.28775       15.60836       10.00000       15.91550        5.90465
    65000.00000        2.37344        2.66272        0.04326      350.50766       -6.89270      232.88754        9.16943        8.19744       17.36687       15.72189       10.00000       15.97150        5.96095
    70000.00000        2.38704        2.67629        0.04515      354.95314       -6.89292      233.32984        9.21029        8.23398       17.44427       15.83246       10.00000       16.02607        6.01578
    75000.00000        2.40036        2.68958        0.04692      359.32950       -6.89318      233.76500        9.25018        8.26964       17.51982       15.94125       10.00000       16.07912        6.06912
    80000.00000        2.41340        2.70260        0.04856      363.64394       -6.89347      234.18986        9.28919        8.30451       17.59369       16.04747       10.00000       16.13079        6.12105
    85000.00000        2.42618        2.71535        0.05009      367.89636       -6.89380      234.60498        9.32733        8.33860       17.66593       16.15124       10.00000       16.18112        6.17163
    90000.00000        2.43870        2.72784        0.05150      372.08697       -6.89416      235.01074        9.36462        8.37195       17.73656       16.25269       10.00000       16.23016        6.22091
    95000.00000        2.45096        2.74008        0.05281      376.21610       -6.89455      235.40746        9.40109        8.40455       17.80564       16.35186       10.00000       16.27793        6.26893
   100000.00000        2.46297        2.75207        0.05402      380.28419       -6.89497      235.79538        9.43675        8.43643       17.87319       16.44884       10.00000       16.32449        6.31572
   150000.00000        2.57050        2.85948        0.06152      417.72364       -6.90061      239.23833        9.75346        8.71957       18.47302       17.30958       10.00000       16.73101        6.72416
   200000.00000        2.65843        2.94737        0.06313      449.69087       -6.90807      242.01329       10.00897        8.94799       18.95696       18.00332       10.00000       17.05024        7.04483
   250000.00000        2.73057        3.01952        0.06125      476.82696       -6.91644      244.26335       10.21636        9.13340       19.34976       18.56584       10.00000       17.30389        7.29957
   300000.00000        2.78992        3.07889        0.05740      499.76501       -6.92506      246.09673       10.38551        9.28462       19.67014       19.02418       10.00000       17.50729        7.50381
   350000.00000        2.83886        3.12787        0.05256      519.09712       -6.93351      247.59659       10.52403        9.40845       19.93248       19.39915       10.00000       17.67159        7.66877
   400000.00000        2.87929        3.16834        0.04733      535.35131       -6.94151      248.82770       10.63781        9.51017       20.14798       19.70692       10.00000       17.80506        7.80276
   450000.00000        2.91275        3.20182        0.04209      548.99372       -6.94890      249.84086       10.73150        9.59394       20.32544       19.96022       10.00000       17.91399        7.91211
   500000.00000        2.94047        3.22957        0.03707      560.42836       -6.95562      250.67650       10.80883        9.66306       20.47189       20.16913       10.00000       18.00323        8.00169
   550000.00000        2.96345        3.25258        0.03240      570.00226       -6.96164      251.36696       10.87275        9.72021       20.59296       20.34174       10.00000       18.07656        8.07529
   600000.00000        2.98253        3.27168        0.02814      578.01140       -6.96698      251.93831       10.92567        9.76752       20.69318       20.48458       10.00000       18.13696        8.13591
   650000.00000        2.99838        3.28755        0.02431      584.70698       -6.97168      252.41167       10.96952        9.80673       20.77625       20.60292       10.00000       18.18682        8.18595
   700000.00000        3.01155        3.30074        0.02092      590.30136       -6.97579      252.80426       11.00591        9.83925       20.84516       20.70106       10.00000       18.22804        8.22732
   750000.00000        3.02250        3.31170        0.01793      594.97360       -6.97935      253.13012       11.03611        9.86626       20.90237       20.78253       10.00000       18.26217        8.26157
   800000.00000        3.03161        3.32082        0.01532      598.87429       -6.98243      253.40078       11.06121        9.88869       20.94990       20.85020       10.00000       18.29045        8.28996
   850000.00000        3.03919        3.32841        0.01305      602.12988       -6.98509      253.62573       11.08207        9.90734       20.98941       20.90643       10.00000       18.31392        8.31352
   900000.00000        3.04550        3.33473        0.01110      604.84640       -6.98736      253.81278       11.09942        9.92285       21.02227       20.95319       10.00000       18.33341        8.33307
   950000.00000        3.05075        3.33999        0.00942      607.11267       -6.98931      253.96836       11.11385        9.93575       21.04960       20.99209       10.00000       18.34960        8.34932
  1000000.00000        3.05512        3.34437        0.00797      609.00301       -6.99097      254.09783       11.12586        9.94649       21.07235       21.02446       10.00000       18.36306        8.36282
  1050000.00000        3.05876        3.34802        0.00674      610.57956       -6.99238      254.20558       11.13586        9.95543       21.09129       21.05140       10.00000       18.37425        8.37405
  1100000.00000        3.06180        3.35105        0.00569      611.89427       -6.99358      254.29529       11.14418        9.96287       21.10705       21.07382       10.00000       18.38356        8.38340
  1150000.00000        3.06432        3.35358        0.00480      612.99052       -6.99459      254.36999       11.15111        9.96907       21.12018       21.09250       10.00000       18.39131        8.39117
  1200000.00000        3.06643        3.35569        0.00404      613.90455       -6.99545      254.43220       11.15688        9.97423       21.13111       21.10805       10.00000       18.39776        8.39764
  1250000.00000        3.06818        3.35745        0.00340      614.66659       -6.99618      254.48401       11.16169        9.97852       21.14022       21.12100       10.00000       18.40313        8.40303
  1300000.00000        3.06965        3.35891        0.00286      615.30188       -6.99679      254.52718       11.16570        9.98210       21.14780       21.13179       10.00000       18.40760        8.40752
  1350000.00000        3.07086        3.36013        0.00240      615.83149       -6.99731      254.56313       11.16903        9.98509       21.15412       21.14078       10.00000       18.41132        8.41126
  1400000.00000        3.07188        3.36115        0.00201      616.27298       -6.99774      254.59309       11.17181        9.98757       21.15939       21.14827       10.00000       18.41443        8.41437
  1450000.00000        3.07272        3.36199        0.00169      616.64099       -6.99811      254.61805       11.17413        9.98964       21.16378       21.15451       10.00000       18.41701        8.41696
  1500000.00000        3.07343        3.36270        0.00142      616.94776       -6.99842      254.63885       11.17606        9.99137       21.16743       21.15971       10.00000       18.41916        8.41913
